con_id,ib_symbol,currency,symbol,exchange,product_description_link,insert_date
75216559,AABB,USD,AABB,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=75216559,2019-11-20 10:05:11.056273
60152167,AABVF,USD,AABVF,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=60152167,2019-11-20 10:05:11.079309
54939868,AACAY,USD,AACAY,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=54939868,2019-11-20 10:05:11.082657
169041192,AACH,USD,AACH,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=169041192,2019-11-20 10:05:11.092715
30207299,AACS,USD,AACS,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=30207299,2019-11-20 10:05:11.095478
195675323,AACTF,USD,AACTF,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=195675323,2019-11-20 10:05:11.098052
88362966,AAGC,USD,AAGC,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=88362966,2019-11-20 10:05:11.100871
280898497,AAGH,USD,AAGH,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=280898497,2019-11-20 10:05:11.103462
90162715,AAGIY,USD,AAGIY,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=90162715,2019-11-20 10:05:11.105769
74708863,AAGRY,USD,AAGRY,arcaedge,https://contract.ibkr.info/index.php?action=Details&site=GEN&conid=74708863,2019-11-20 10:05:11.108338
